COD_CANTON;NOM_CANTON;COD_PROVINCIA;COD_CIRCUNSCRIPCION
260;CUENCA;1;0
265;GUALACEO;1;0
270;GIRON;1;0
275;PAUTE;1;0
280;SIGSIG;1;0
285;SANTA ISABEL;1;0
555;PUCARA;1;0
556;CAMILO PONCE ENRIQUEZ;1;0
780;OÑA;1;0
855;SAN FERNANDO;1;0
885;NABON;1;0
915;CHORDELEG;1;0
955;SEVILLA DE ORO;1;0
960;EL PAN;1;0
990;GUACHAPALA;1;0
165;GUARANDA;2;0
170;CHIMBO;2;0
175;SAN MIGUEL;2;0
180;CHILLANES;2;0
185;ECHEANDIA;2;0
760;CALUMA;2;0
950;LAS NAVES;2;0
235;AZOGUES;3;0
240;CAÑAR;3;0
241;SUSCAL;3;0
245;BIBLIAN;3;0
250;LA TRONCAL;3;0
765;EL TAMBO;3;0
905;DELEG;3;0
5;TULCAN;4;0
10;MONTUFAR;4;0
15;ESPEJO;4;0
20;MIRA;4;0
25;BOLIVAR;4;0
995;SAN PEDRO DE HUACA;4;0
100;LATACUNGA;5;0
105;PUJILI;5;0
110;SALCEDO;5;0
115;SAQUISILI;5;0
120;PANGUA;5;0
825;LA MANA;5;0
930;SIGCHOS;5;0
190;CHAMBO;6;0
195;RIOBAMBA;6;0
200;GUANO;6;0
205;COLTA;6;0
210;GUAMOTE;6;0
215;ALAUSI;6;0
220;CHUNCHI;6;0
225;PENIPE;6;0
830;PALLATANGA;6;0
900;CUMANDA;6;0
350;MACHALA;7;0
355;SANTA ROSA;7;0
360;ZARUMA;7;0
365;PASAJE;7;0
370;PIÑAS;7;0
375;ARENILLAS;7;0
380;EL GUABO;7;0
585;CHILLA;7;0
690;PORTOVELO;7;0
695;HUAQUILLAS;7;0
705;ATAHUALPA;7;0
755;LAS LAJAS;7;0
860;MARCABELI;7;0
875;BALSAS;7;0
560;ESMERALDAS;8;0
561;RIO VERDE;8;0
565;ELOY ALFARO;8;0
570;MUISNE;8;0
575;QUININDE;8;0
580;SAN LORENZO;8;0
785;ATACAMES;8;0
95;BALAO;9;4
125;COLIMES;9;4
385;EL EMPALME;9;4
390;GUAYAQUIL;9;1
390;GUAYAQUIL;9;2
390;GUAYAQUIL;9;3
395;YAGUACHI;9;4
400;DAULE;9;4
415;BALZAR;9;4
420;MILAGRO;9;4
425;SAMBORONDON;9;3
430;SALITRE;9;4
435;NARANJAL;9;4
505;EL TRIUNFO;9;4
510;NARANJITO;9;4
675;PALESTINA;9;4
715;PEDRO CARBO;9;4
735;PLAYAS;9;3
790;SIMON BOLIVAR;9;4
820;DURAN;9;3
835;A.BAQUERIZO MORENO;9;4
870;SANTA LUCIA;9;4
890;CRNL MARCELINO MARIDUENAS;9;4
920;LOMAS DE SARGENTILLO;9;4
940;NOBOL / PIEDRAHITA;9;4
985;GRAL. A. ELIZALDE;9;4
986;ISIDRO AYORA;9;4
30;IBARRA;10;0
35;OTAVALO;10;0
40;COTACACHI;10;0
45;ANTONIO ANTE;10;0
50;PIMAMPIRO;10;0
55;URCUQUI;10;0
290;CATAMAYO;11;0
295;ZAPOTILLO;11;0
300;LOJA;11;0
305;SARAGURO;11;0
310;PALTAS;11;0
311;OLMEDO;11;0
315;CELICA;11;0
