COD_PARROQUIA;NOM_PARROQUIA;COD_CANTON;COD_CIRCUNSCRIPCION
1125;EL CARMELO/EL PUN/;5;0
1195;EL CHICAL;5;0
1765;SANTA MARTHA DE CUBA;5;0
1885;JULIO ANDRADE;5;0
2340;MALDONADO;5;0
2900;PIOTER;5;0
4040;TOBAR DONOSO;5;0
4070;TUFIÑO;5;0
4130;URBINA;5;0
5415;GONZALEZ SUAREZ;5;0
6165;TULCAN;5;0
250;PIARTAL;10;0
690;CRISTOBAL COLON;10;0
910;CHITAN DE NAVARRETES;10;0
1270;FERNANDEZ SALVADOR;10;0
2065;LA PAZ;10;0
5405;GONZALEZ SUAREZ;10;0
5970;SAN JOSE;10;0
9001;C. E. EN BERLIN;11;0
1150;EL GOALTAL / LAS JUNTAS;15;0
2040;LA LIBERTAD;15;0
3435;SAN ISIDRO;15;0
5295;EL ANGEL;15;0
6250;27 DE SEPTIEMBRE;15;0
1835;JIJON Y CAAMAÑO;20;0
1875;JUAN MONTALVO;20;0
2010;LA CONCEPCION;20;0
5685;MIRA;20;0
9003;C. E. EN BUENOS AIRES;21;0
1055;SAN RAFAEL;25;0
1315;GARCIA MORENO;25;0
2205;LOS ANDES;25;0
2455;MONTEOLIVO;25;0
3680;SAN VICENTE DE PUSIR;25;0
6520;BOLIVAR;25;0
100;AMBUQUI/CHOTA;30;0
130;ANGOCHAGUA;30;0
530;CAROLINA /GUALLUPI;30;0
2020;LA ESPERANZA;30;0
2185;LITA;30;0
3290;SALINAS;30;0
3315;SAN ANTONIO;30;0
5165;CARANQUI;30;0
5440;GUAYAQUIL DE ALPACHACA;30;0
5915;SAGRARIO;30;0
5960;SAN FRANCISCO;30;0
6780;LA DOLOROSA DEL PRIORATO;30;0
9005;C. E. EN CAMBERRA;31;0
1040;DR MIGUEL EGAS/PEGUCHE;35;0
1215;EUGENIO ESPEJO;35;0
1360;GONZALEZ SUAREZ;35;0
2785;PATAQUI;35;0
3490;SAN JOSE DE QUICHINCHE;35;0
3525;SAN JUAN DE ILUMAN;35;0
3590;SAN PABLO;35;0
3630;SAN RAFAEL;35;0
3810;SELVA ALEGRE;35;0
5490;JORDAN;35;0
5980;SAN LUIS;35;0
145;APUELA;40;0
1310;GARCIA MORENO / LLURIMAGUA;40;0
1710;IMANTAG;40;0
2820;PEÑAHERRERA;40;0
2915;PLAZA GUTIERREZ/CALVARIO;40;0
3115;QUIROGA;40;0
3800;6 DE JULIO DE CUELLAJE;40;0
4185;VACAS GALINDO;40;0
5910;SAGRARIO;40;0
5955;SAN FRANCISCO;40;0
9006;C. E. EN VIENA;41;0
1715;IMBAYA;45;0
3400;SAN FCO.DE NATABUELA;45;0
3465;SAN JOSE DE CHALTURA;45;0
3640;SAN ROQUE;45;0
5025;ANDRADE MARIN/LOURDES;45;0
5050;ATUNTAQUI;45;0
955;CHUGA;50;0
2380;MARIANO ACOSTA;50;0
3415;SAN FRANCISCO DE SIGSIPAMBA;50;0
5750;PIMAMPIRO;50;0
9007;C. E. EN BRUSELAS;51;0
425;CAHUASQUI;55;0
2060;LA MERCED DE BUENOS AIRES;55;0
2675;PABLO ARENAS;55;0
3365;SAN BLAS;55;0
4080;TUMBABIRO;55;0
6190;URCUQUI;55;0
30;ALANGASI;60;3
80;AMAGUAÑA;60;3
195;ATAHUALPA /HABASPAMBA;60;3
430;CALACALI;60;3
440;CALDERON;60;3
625;CONOCOTO;60;3
725;CUMBAYA;60;3
855;CHAVEZPAMBA;60;3
865;CHECA;60;3
1400;GUALEA;60;3
1440;GUANGOPOLO;60;3
1475;GUAYLLABAMBA;60;3
2055;LA MERCED;60;3
2265;LLANO CHICO;60;3
2275;LLOA;60;3
2525;NANEGAL;60;3
2530;NANEGALITO;60;3
2540;NAYON;60;3
2560;NONO;60;3
2690;PACTO;60;3
2825;PERUCHO;60;3
2855;PIFO;60;3
2895;PINTAG;60;3
2925;POMASQUI;60;3
2980;PUELLARO;60;3
2985;PUEMBO;60;3
3100;QUINCHE;60;3
3325;SAN ANTONIO;60;3
3475;SAN JOSE DE MINAS;60;3
3925;TABABELA;60;3
4085;TUMBACO;60;3
4290;YARUQUI;60;3
4325;ZAMBIZA;60;3
5015;CHIMBACALLE;60;2
5220;COTOCOLLAO;60;1
5260;CHILLOGALLO;60;2
5535;LA LIBERTAD;60;2
5540;LA MAGDALENA;60;2
7130;BELISARIO QUEVEDO;60;1
7135;CARCELEN;60;1
7140;CENTRO HISTORICO;60;2
7145;COCHAPAMBA;60;1
