COD_PARTIDO;NOM_PARTIDO;LIS_PARTIDO;NUM_PARTIDO
0;MOVIMIENTO / ALIANZA / PARTIDO  1;0;000
56;MOVIMIENTO / ALIANZA / PARTIDO  10;2-12;002012
603;MOVIMIENTO / ALIANZA / PARTIDO  100;63;063
632;MOVIMIENTO / ALIANZA / PARTIDO  101;63;063
688;MOVIMIENTO / ALIANZA / PARTIDO  102;63;063
680;MOVIMIENTO / ALIANZA / PARTIDO  103;64;064
678;MOVIMIENTO / ALIANZA / PARTIDO  104;64;064
692;MOVIMIENTO / ALIANZA / PARTIDO  105;65;065
704;MOVIMIENTO / ALIANZA / PARTIDO  106;65;065
709;MOVIMIENTO / ALIANZA / PARTIDO  107;65;065
730;MOVIMIENTO / ALIANZA / PARTIDO  108;65;065
713;MOVIMIENTO / ALIANZA / PARTIDO  109;66;066
38;MOVIMIENTO / ALIANZA / PARTIDO  11;2-12;002012
598;MOVIMIENTO / ALIANZA / PARTIDO  110;66;066
685;MOVIMIENTO / ALIANZA / PARTIDO  111;66;066
624;MOVIMIENTO / ALIANZA / PARTIDO  112;67;067
738;MOVIMIENTO / ALIANZA / PARTIDO  113;69;069
600;MOVIMIENTO / ALIANZA / PARTIDO  114;69;069
621;MOVIMIENTO / ALIANZA / PARTIDO  115;70;070
698;MOVIMIENTO / ALIANZA / PARTIDO  116;73;073
701;MOVIMIENTO / ALIANZA / PARTIDO  117;75;075
759;MOVIMIENTO / ALIANZA / PARTIDO  118;81;081
623;MOVIMIENTO / ALIANZA / PARTIDO  119;82;082
53;MOVIMIENTO / ALIANZA / PARTIDO  12;2-12-17;002012017
64;MOVIMIENTO / ALIANZA / PARTIDO  120;82-2;082002
722;MOVIMIENTO / ALIANZA / PARTIDO  121;100;100
735;MOVIMIENTO / ALIANZA / PARTIDO  122;100;100
695;MOVIMIENTO / ALIANZA / PARTIDO  123;101;101
630;MOVIMIENTO / ALIANZA / PARTIDO  124;101;101
670;MOVIMIENTO / ALIANZA / PARTIDO  125;101;101
637;MOVIMIENTO / ALIANZA / PARTIDO  126;101;101
640;MOVIMIENTO / ALIANZA / PARTIDO  127;101;101
649;MOVIMIENTO / ALIANZA / PARTIDO  128;101;101
681;MOVIMIENTO / ALIANZA / PARTIDO  129;101;101
17;MOVIMIENTO / ALIANZA / PARTIDO  13;2-18;002018
702;MOVIMIENTO / ALIANZA / PARTIDO  130;101;101
679;MOVIMIENTO / ALIANZA / PARTIDO  131;101;101
595;MOVIMIENTO / ALIANZA / PARTIDO  132;101;101
673;MOVIMIENTO / ALIANZA / PARTIDO  133;101;101
635;MOVIMIENTO / ALIANZA / PARTIDO  134;101;101
677;MOVIMIENTO / ALIANZA / PARTIDO  135;101;101
631;MOVIMIENTO / ALIANZA / PARTIDO  136;101;101
643;MOVIMIENTO / ALIANZA / PARTIDO  137;101;101
690;MOVIMIENTO / ALIANZA / PARTIDO  138;101;101
655;MOVIMIENTO / ALIANZA / PARTIDO  139;101;101
67;MOVIMIENTO / ALIANZA / PARTIDO  14;2-18;002018
693;MOVIMIENTO / ALIANZA / PARTIDO  140;101;101
638;MOVIMIENTO / ALIANZA / PARTIDO  141;101;101
653;MOVIMIENTO / ALIANZA / PARTIDO  142;101;101
725;MOVIMIENTO / ALIANZA / PARTIDO  143;101;101
586;MOVIMIENTO / ALIANZA / PARTIDO  144;101;101
659;MOVIMIENTO / ALIANZA / PARTIDO  145;102;102
661;MOVIMIENTO / ALIANZA / PARTIDO  146;102;102
645;MOVIMIENTO / ALIANZA / PARTIDO  147;102;102
617;MOVIMIENTO / ALIANZA / PARTIDO  148;102;102
712;MOVIMIENTO / ALIANZA / PARTIDO  149;102;102
37;MOVIMIENTO / ALIANZA / PARTIDO  15;2-18-62;002018062
636;MOVIMIENTO / ALIANZA / PARTIDO  150;102;102
651;MOVIMIENTO / ALIANZA / PARTIDO  151;102;102
607;MOVIMIENTO / ALIANZA / PARTIDO  152;102;102
684;MOVIMIENTO / ALIANZA / PARTIDO  153;102;102
686;MOVIMIENTO / ALIANZA / PARTIDO  154;102;102
605;MOVIMIENTO / ALIANZA / PARTIDO  155;102;102
671;MOVIMIENTO / ALIANZA / PARTIDO  156;102;102
593;MOVIMIENTO / ALIANZA / PARTIDO  157;102;102
579;MOVIMIENTO / ALIANZA / PARTIDO  158;102;102
714;MOVIMIENTO / ALIANZA / PARTIDO  159;102;102
620;MOVIMIENTO / ALIANZA / PARTIDO  16;3;003
644;MOVIMIENTO / ALIANZA / PARTIDO  160;102;102
610;MOVIMIENTO / ALIANZA / PARTIDO  161;102;102
616;MOVIMIENTO / ALIANZA / PARTIDO  162;102;102
652;MOVIMIENTO / ALIANZA / PARTIDO  163;103;103
710;MOVIMIENTO / ALIANZA / PARTIDO  164;103;103
596;MOVIMIENTO / ALIANZA / PARTIDO  165;103;103
592;MOVIMIENTO / ALIANZA / PARTIDO  166;103;103
689;MOVIMIENTO / ALIANZA / PARTIDO  167;103;103
597;MOVIMIENTO / ALIANZA / PARTIDO  168;103;103
646;MOVIMIENTO / ALIANZA / PARTIDO  169;103;103
71;MOVIMIENTO / ALIANZA / PARTIDO  17;3-8;003008
672;MOVIMIENTO / ALIANZA / PARTIDO  170;103;103
665;MOVIMIENTO / ALIANZA / PARTIDO  171;103;103
612;MOVIMIENTO / ALIANZA / PARTIDO  172;103;103
726;MOVIMIENTO / ALIANZA / PARTIDO  173;103;103
691;MOVIMIENTO / ALIANZA / PARTIDO  174;103;103
760;MOVIMIENTO / ALIANZA / PARTIDO  175;104;104
723;MOVIMIENTO / ALIANZA / PARTIDO  176;104;104
580;MOVIMIENTO / ALIANZA / PARTIDO  177;104;104
