COD_PROVINCIA;NOM_PROVINCIA;COD_CIRCUNSCRIPCION;NOM_CIRCUNSCRIPCION;COD_CANTON;NOM_CANTON;COD_PARROQUIA;NOM_PARROQUIA;EST_PARROQUIA;COD_ZONA;NOM_ZONA;COD_RECINTO;NOM_RECINTO
1;AZUAY;0;;260;CUENCA;285;BAÑOS;R;1;BAÑOS;1005;UNIDAD EDUCATIVA MANUEL CORDOVA GALARZA
1;AZUAY;0;;260;CUENCA;285;BAÑOS;R;1;BAÑOS;978;ESCUELA DE EDUCACIÓN BÁSICA ENRIQUETA CORDERO DAVILA
1;AZUAY;0;;260;CUENCA;285;BAÑOS;R;1;BAÑOS;987;UNIDAD EDUCATIVA ALFONSO CARRION HEREDIA
1;AZUAY;0;;260;CUENCA;285;BAÑOS;R;1;BAÑOS;6306;UNIDAD EDUCATIVA BORJA-ESCUELA
1;AZUAY;0;;260;CUENCA;285;BAÑOS;R;1;BAÑOS;6027;UNIDAD EDUCATIVA PARTICULAR BORJA-COLEGIO
1;AZUAY;0;;260;CUENCA;285;BAÑOS;R;2;COCHAPAMBA;1521;CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE BACHILLERATO NARANCAY/COLEGIO INTERCULTURAL BILINGÜE NARANCAY
1;AZUAY;0;;260;CUENCA;730;CUMBE;R;0;;928;UNIDAD EDUCATIVA CUMBE / COLEGIO NACIONAL TECNICO DE CUMBE
1;AZUAY;0;;260;CUENCA;730;CUMBE;R;0;;1015;ESCUELA DE EDUCACION BASICA GENERAL GABRIEL ARSENIO ULLAURI
1;AZUAY;0;;260;CUENCA;845;CHAUCHA / ANGAS;R;1;CHAUCHA /ANGAS;2196;UNIDAD EDUCATIVA SAN GABRIEL DE CHAUCHA
1;AZUAY;0;;260;CUENCA;845;CHAUCHA / ANGAS;R;2;SAN ANTONIO;2327;ESCUELA DE EDUCACION BASICA ECUADOR AMAZONICO
1;AZUAY;0;;260;CUENCA;845;CHAUCHA / ANGAS;R;3;CEDRO;2328;ESCUELA FISCAL CORNELIO HIDALGO CASTRO
1;AZUAY;0;;260;CUENCA;845;CHAUCHA / ANGAS;R;4;CASCAJO;2206;ESCUELA LEONCIO GALLEGOS SOLANO
1;AZUAY;0;;260;CUENCA;860;CHECA JIDCAY;R;0;;623;UNIDAD EDUCATIVA CHECA/COLEGIO CHECA
1;AZUAY;0;;260;CUENCA;905;CHIQUINTAD;R;0;;1332;UNIDAD EDUCATIVA CHIQUINTAD (COLEGIO NACIONAL TECNICO CHIQUINTAD
1;AZUAY;0;;260;CUENCA;2255;LLACAO;R;0;;1267;ESCUELA DE EDUCACION BASICA GONZALO S. CORDOVA
1;AZUAY;0;;260;CUENCA;2430;MOLLETURO;R;1;MOLLETURO;464;UNIDAD EDUCATIVA MOLLETURO/COLEGIO MOLLETURO
1;AZUAY;0;;260;CUENCA;2430;MOLLETURO;R;1;MOLLETURO;455;ESCUELA DE EDUCACION BASICA JUAN LEON MERA
