COD_ZONA;NOM_ZONA;COD_PARROQUIA;COD_CIRCUNSCRIPCION
1;ABANIN;5;0
2;DALIGSHI;5;0
3;TUNUYUNGA;5;0
1;ACHUPALLAS;20;0
2;TOTORAS;20;0
3;JUVAL;20;0
1;AHUANO;25;0
2;CAMPANA COCHA;25;0
3;CAMPO COCHA;25;0
4;NUEVO PARAISO;25;0
5;ZANCUDO;25;0
6;RIO BLANCO;25;0
7;TAMIA URCO;25;0
8;SANTA BARBARA;25;0
9;SANTA ROSA;25;0
1;ALANGASI;30;3
2;EL TINGO;30;3
1;ALTO TAMBO /GUADAL;70;0
2;CRISTAL ALTO;70;0
1;ALLURIQUIN;75;0
2;LA FLORIDA;75;0
3;MAR DE LA TRANQUILIDAD;75;0
1;AMAGUAÑA;80;3
2;CHAUPITENA;80;3
1;AMALUZA;85;0
2;SANTA RITA;85;0
1;AMBATILLO;95;0
2;AMBATILLO ALTO;95;0
1;AMBUQUI / CHOTA;100;0
2;JUNCAL;100;0
3;CHOTA;100;0
4;CARPUELA;100;0
5;CHAUPI GUARANGUI;100;0
6;SAN CLEMENTE;100;0
1;ANCON/PALMA REAL;110;0
2;CAUCHAL;110;0
1;ANGAMARCA;125;0
2;CHINE ALTO;125;0
3;MOCATA;125;0
4;PIGUA-QUINDIGUA;125;0
1;ANGOCHAGUA;130;0
2;ZULETA;130;0
3;LA MERCED;130;0
1;ANTONIO SOTOMAYOR;140;0
2;BAGATELA;140;0
5;CLARIZA;140;0
1;PATRICIA PILAR;150;0
2;LOS ANGELES;150;0
1;LA ASUNCION;175;0
2;LENTAG;175;0
1;ASUNCION;180;0
2;SAN JOSE SUR;180;0
3;SUNKANTS;180;0
1;ATAHUALPA/CAMARONES;200;0
2;JUAN MONTALVO;200;0
1;AUGUSTO N. MARTINEZ;210;0
2;LLATANTOMA;210;0
3;SAMANGA;210;0
4;LAQUIGO;210;0
1;AVILA;215;0
2;AVILA VIEJO;215;0
3;PUSCO COCHA;215;0
4;SAN BARTOLO;215;0
1;BELLA VISTA;235;0
2;EL CASCAJO EL CAMOTE;235;0
1;EL RETIRO;255;0
2;NUEVA ESPERANZA;255;0
3;GUARUMAL 2;255;0
1;LIMONES;280;0
2;TRONCO QUEMADO;280;0
1;BAÑOS;285;0
2;COCHAPAMBA;285;0
1;VALLE HERMOSO;305;0
2;CRISTOBAL COLON;305;0
3;LA MARIANITA;305;0
4;CHIGUILPE;305;0
5;EL RECREO;305;0
6;LA ASUNCION;305;0
7;AUTENTICOS CAMPESINOS;305;0
8;UNION GANADERA;305;0
1;SUMAYPAMBA;310;0
2;MOSTAZAPAMBA;310;0
1;BELLAVISTA;320;0
2;JIBIRUCHE;320;0
1;BELLAVISTA;325;0
