COD_DIGNIDAD|COD_PROVINCIA|COD_CANTON|COD_CIRCUNSCRIPCION|COD_PARROQUIA|COD_ZONA|NUM_JUNTA|SEX_JUNTA|COD_JUNTA|NUM_PARTIDO|COD_PARTIDO|NUM_SUF_ACTA|BLANCOS|NULOS|FIN_RESULTADO
1|1|260|0|285|1|1|F|51001|1005|1030|297|1|28|197
1|1|260|0|285|1|1|F|51001|21006|1021|289|1|32|33
1|1|260|0|285|1|1|M|51034|1005|1030|257|1|29|14
1|1|260|0|285|1|1|M|51034|21006|1021|269|1|32|175
1|1|260|0|285|1|2|F|51002|1005|1030|299|3|52|103
1|1|260|0|285|1|2|F|51002|21006|1021|290|3|34|41
1|1|260|0|285|1|2|M|51035|1005|1030|262|6|29|101
1|1|260|0|285|1|2|M|51035|21006|1021|274|6|12|53
1|1|260|0|285|1|3|F|51003|1005|1030|273|10|39|98
1|1|260|0|285|1|3|F|51003|21006|1021|286|150|30|52
1|1|260|0|285|1|3|M|51036|1005|1030|263|7|18|92
1|1|260|0|285|1|3|M|51036|21006|1021|263|7|24|42
1|1|260|0|285|1|4|F|51004|1005|1030|285|2|24|98
1|1|260|0|285|1|4|F|51004|21006|1021|284|2|20|51
1|1|260|0|285|1|4|M|51037|1005|1030|356|1|21|95
1|1|260|0|285|1|4|M|51037|21006|1021|281|1|120|73
1|1|260|0|285|1|5|F|51005|1005|1030|283|5|13|124
1|1|260|0|285|1|5|F|51005|21006|1021|111|5|15|44
1|1|260|0|285|1|5|M|51038|1005|1030|266|3|17|122
1|1|260|0|285|1|5|M|51038|21006|1021|277|3|19|53
1|1|260|0|285|1|6|F|51006|1005|1030|293|2|27|44
1|1|260|0|285|1|6|F|51006|21006|1021|283|2|38|67
1|1|260|0|285|1|6|M|51039|1005|1030|270|11|11|89
1|1|260|0|285|1|6|M|51039|21006|1021|274|11|26|104
1|1|260|0|285|1|7|F|51007|1005|1030|268|10|11|108
1|1|260|0|285|1|7|F|51007|21006|1021|267|10|16|45
1|1|260|0|285|1|7|M|51040|1005|1030|267|5|26|98
1|1|260|0|285|1|7|M|51040|21006|1021|265|5|13|48
1|1|260|0|285|1|8|F|51008|1005|1030|291|9|30|119
1|1|260|0|285|1|8|F|51008|21006|1021|297|9|29|59
1|1|260|0|285|1|8|M|51041|1005|1030|264|4|31|107
1|1|260|0|285|1|8|M|51041|21006|1021|274|4|14|53
1|1|260|0|285|1|9|F|51009|1005|1030|283|2|42|115
1|1|260|0|285|1|9|F|51009|21006|1021|283|2|36|35
1|1|260|0|285|1|9|M|51042|1005|1030|277|3|15|132
1|1|260|0|285|1|9|M|51042|21006|1021|282|30|14|27
1|1|260|0|285|1|10|F|51010|1005|1030|286|7|35|97
1|1|260|0|285|1|10|F|51010|21006|1021|291|7|33|43
1|1|260|0|285|1|10|M|51043|1005|1030|282|5|22|132
1|1|260|0|285|1|10|M|51043|21006|1021|264|5|8|89
1|1|260|0|285|1|11|F|51011|1005|1030|291|7|42|121
1|1|260|0|285|1|11|F|51011|21006|1021|303|7|43|50
1|1|260|0|285|1|11|M|51044|1005|1030|285|6|23|111
1|1|260|0|285|1|11|M|51044|21006|1021|272|6|26|4
1|1|260|0|285|1|12|F|51012|1005|1030|291|8|31|124
1|1|260|0|285|1|12|F|51012|21006|1021|284|8|24|30
1|1|260|0|285|1|12|M|51045|1005|1030|278|9|13|148
1|1|260|0|285|1|12|M|51045|21006|1021|267|9|23|138
1|1|260|0|285|1|13|F|51013|1005|1030|308|9|24|144
1|1|260|0|285|1|13|F|51013|21006|1021|298|9|22|26
1|1|260|0|285|1|13|M|51046|1005|1030|268|10|30|94
1|1|260|0|285|1|13|M|51046|21006|1021|259|10|22|42
1|1|260|0|285|1|14|F|51014|1005|1030|304|10|40|90
1|1|260|0|285|1|14|F|51014|21006|1021|309|10|39|28
1|1|260|0|285|1|14|M|51047|1005|1030|287|3|37|108
1|1|260|0|285|1|14|M|51047|21006|1021|282|3|40|29
1|1|260|0|285|1|15|F|51015|1005|1030|283|7|30|103
1|1|260|0|285|1|15|F|51015|21006|1021|297|7|34|22
1|1|260|0|285|1|15|M|51048|1005|1030|282|7|34|125
1|1|260|0|285|1|15|M|51048|21006|1021|293|7|30|52
1|1|260|0|285|1|16|F|51016|1005|1030|271|9|30|114
1|1|260|0|285|1|16|F|51016|21006|1021|281|9|28|47
1|1|260|0|285|1|16|M|51049|1005|1030|287|10|20|91
1|1|260|0|285|1|16|M|51049|21006|1021|285|10|20|53
1|1|260|0|285|1|17|F|51017|1005|1030|273|5|22|100
1|1|260|0|285|1|17|F|51017|21006|1021|267|5|22|44
1|1|260|0|285|1|17|M|51050|1005|1030|260|8|24|80
1|1|260|0|285|1|17|M|51050|21006|1021|265|8|14|54
1|1|260|0|285|1|18|F|51018|1005|1030|301|8|21|70
1|1|260|0|285|1|18|F|51018|21006|1021|304|8|38|68
1|1|260|0|285|1|18|M|51051|1005|1030|273|6|21|105
1|1|260|0|285|1|18|M|51051|21006|1021|273|6|18|47
1|1|260|0|285|1|19|F|51019|1005|1030|300|7|33|124
1|1|260|0|285|1|19|F|51019|21006|1021|293|7|22|47
1|1|260|0|285|1|19|M|51052|1005|1030|282|6|32|95
1|1|260|0|285|1|19|M|51052|21006|1021|296|6|35|64
1|1|260|0|285|1|20|F|51020|1005|1030|276|16|30|89
1|1|260|0|285|1|20|F|51020|21006|1021|281|16|25|45
1|1|260|0|285|1|20|M|51053|1005|1030|270|6|27|89
